,0
北京师范大学,8
清华大学,8
北京大学,6
中国人民大学,6
南京大学,5
西安交通大学,5
浙江大学,4
北京航空航天大学,4
西北大学,4
大连理工大学,4
武汉大学,4
东南大学,4
复旦大学,3
华中科技大学,3
南京农业大学,3
北京师范大学,3
吉林大学,3
山东农业大学,3
南昌大学,3
中南大学,3
教育部,3
中国科学技术大学,3
华东师范大学,2
浙江大学,2
暨南大学,2
清华大学,2
本刊记者,2
天津大学,2
首都师范大学,2
中国高等教育学会,2
南京审计学院,2
南京工程学院,2
四川大学,2
湖南大学,2
哈尔滨学院,2
湖南工程学院,2
南京财经大学,2
南开大学,2
中国政法大学,2
华中农业大学,2
上海交通大学,2
西南财经大学,2
北京理工大学,2
浙江万里学院,2
湖南师范大学,2
广西师范学院,2
中山大学,2
山东师范大学,2
北京化工大学,2
郑州大学,2
浙江丽水学院,1
河南大学,1
湖南大学,1
浙江工业大学,1
湖南农业大学,1
深圳大学,1
浙江师范大学,1
湖北经济学院,1
河海大学,1
温州师范学院,1
河南职业技术师范学院,1
浙江财经学院,1
河海大学,1
海军工程大学,1
渝西学院,1
[美],1
第四军医大学,1
湖南理工学院,1
陕西工业职业技术学院,1
邵阳学院,1
邵阳学院,1
重庆医科大学,1
重庆大学,1
长春工程学院,1
长沙大学,1
长沙大学,1
陕西师范大学,1
湘潭大学,1
零陵学院,1
青岛大学,1
青岛理工大学,1
青岛科技大学,1
马里兰大学,1
黑龙江大学,1
黑龙江工程学院,1
邢台学院,1
解放军理工大学,1
西安建筑科技大学,1
西安交通大学,1
烟台大学,1
烟台师范学院,1
电子科技大学,1
石家庄师范专科学校,1
福州大学,1
福建农林大学,1
福建广播电视大学,1
河北师范大学,1
美,1
美国卡内基-梅隆大学计算机科学与心理学,1
莆田学院,1
莱阳农学院,1
西北大学地质系,1
西北师范大学,1
西北师范大学,1
河南司法警官职业学院,1
安徽农业大学,1
河北大学,1
兰州大学,1
华南师范大学,1
华南农业大学,1
华北电力大学,1
华中科技大学教科院,1
华中农业大学,1
北京财贸职业学院,1
北京科技大学,1
北京林业大学,1
北京印刷学院,1
北京化工大学,1
北京信息工程学院,1
剑桥大学,1
内蒙古大学,1
内蒙古大学,1
中山大学,1
华南理工大学,1
中央财经大学,1
中央司法警官学院,1
中国艺术研究院,1
中国科学院,1
中国矿业大学,1
中国海洋大学,1
中国政法大学党委,1
中国农业大学,1
中国农业大学,1
中国传媒大学,1
中南民族大学,1
东南大学,1
上海大学,1
上海交通大学国家人类基因组南方研究中心,1
华南理工大学,1
南京大学,1
江苏科技大学,1
天津师范大学,1
江汉大学,1
本刊通讯员,1
无锡职业技术学院,1
新乡医学院,1
成都信息工程学院,1
常州工学院,1
山西大学,1
山东工商学院,1
安徽大学,1
宁波大学,1
宁波大学,1
太原大学,1
天津职业大学,1
天津理工大学,1
国防科技大学,1
南京工业大学,1
国家环保局,1
哈尔滨师范大学,1
哈尔滨工业大学,1
哈佛大学,1
同济大学,1
合肥工业大学,1
厦门大学,1
南开大学,1
南京艺术学院,1
南京理工大学,1
南京理工大学,1
南京晓庄学院,1
南京师范大学,1
南京工程学院,1
黔南民族师范学院,1
