,0
北京大学,10
清华大学,8
武汉大学,7
北京师范大学,4
高等教育出版社,4
华中农业大学,4
东南大学,3
北方交通大学,3
北京航空航天大学,3
华中科技大学,3
西安交通大学,3
教育部高等教育司,3
复旦大学,3
北京化工大学,2
汕头大学,2
兰州大学,2
南开大学,2
全国高等学校教学研究中心,2
石油大学,2
四川大学,2
安徽师范大学,2
香港科技大学,2
青岛海洋大学,2
中南大学,2
南京大学,2
中国高等教育学会,2
上海交通大学,2
教育部考试中心,1
江苏省教育厅,1
江西师范大学,1
沈阳航空工业学院,1
暨南大学,1
河北大学,1
广西师范大学,1
昆明师范专科学校,1
河南机电高专党委,1
河海大学党委,1
泉州师范学院,1
浙江万里学院,1
教育部,1
湖南大众传媒学院,1
浙江师范大学,1
美国波特兰太平洋大学,1
重庆大学,1
郑州航空工业管理学院,1
辽宁省教育厅,1
西安工程科技学院,1
西南石油学院,1
西南师范大学,1
西南交通大学,1
西北工业大学,1
第四军医大学,1
浙江省教育厅,1
福建省教育厅,1
番禺理工学院,1
澳门理工学院,1
湛江师范学院,1
湖南大学,1
山西大学党委,1
湖南城市学院,1
海军航空工程学院,1
广东外语外贸大学,1
[英],1
山西大学,1
山东师范大学,1
北京联合大学,1
北京科技大学,1
北京理工大学,1
剑桥大学,1
全国高等学校教学研究会,1
云南大学,1
临沂师范学院,1
中山大学党委,1
中山大学,1
中央财经大学,1
中国科学院,1
中国科学技术大学研究生院,1
中国科学技术大学,1
中国政法大学党委,1
中国农业大学,1
中国人民大学,1
东华大学,1
上海第二工业大学,1
上海市教育委员会,1
华东师范大学党委,1
华中科技大学教务处,1
华北电力大学,1
同济大学,1
山东大学,1
对外经济贸易大学,1
天津青年职业学院,1
天津大学,1
培正商学院,1
四川师范大学,1
哈尔滨工业大学,1
哈佛大学,1
合肥学院,1
华南理工大学,1
台湾东海大学,1
台州学院,1
厦门大学,1
原长沙铁道学院,1
南通职业大学,1
南昌大学党委,1
南京医科大学,1
南京农业大学,1
国防科学技术大学,1
